,DateTime,Close,High,Low,Volume,Bid Price,Ask Price
73,2023-02-02 10:13:00,147.1,147.1,147.1,0,147.2,147.2
74,2023-02-02 10:14:00,147.1,147.1,147.1,0,147.1,147.1
75,2023-02-02 10:15:00,147.1,147.1,147.1,0,147.2,147.2
76,2023-02-02 10:16:00,147.01,147.01,147.01,145,147.14,147.14
77,2023-02-02 10:17:00,147.01,147.01,147.01,0,147.08,147.08
78,2023-02-02 10:18:00,147.01,147.01,147.01,0,147.2,147.2
79,2023-02-02 10:19:00,147.01,147.01,147.01,0,147.15,147.15
80,2023-02-02 10:20:00,147.01,147.01,147.01,0,147.11,147.11
81,2023-02-02 10:21:00,147.1,147.1,147.1,640,147.14,147.14
82,2023-02-02 10:22:00,147.1,147.1,147.1,0,147.14,147.14
83,2023-02-02 10:23:00,147.1,147.1,147.1,0,147.12,147.12
84,2023-02-02 10:24:00,147.0,147.0,147.0,250,147.1,147.1
85,2023-02-02 10:25:00,147.0,147.0,147.0,0,147.1,147.1
86,2023-02-02 10:26:00,147.0,147.0,147.0,0,147.1,147.1
87,2023-02-02 10:27:00,147.0,147.0,147.0,0,147.0,147.0
88,2023-02-02 10:28:00,147.0,147.0,147.0,0,147.0,147.0
89,2023-02-02 10:29:00,147.0,147.0,147.0,0,146.99,146.99
90,2023-02-02 10:30:00,147.0,147.0,147.0,0,147.1,147.1
91,2023-02-02 10:31:00,147.0,147.0,147.0,0,146.97,146.97
92,2023-02-02 10:32:00,147.0,147.0,147.0,0,146.99,146.99
93,2023-02-02 10:33:00,147.0,147.0,147.0,0,147.1,147.1
94,2023-02-02 10:34:00,147.0,147.0,147.0,0,147.0,147.0
95,2023-02-02 10:35:00,147.0,147.0,147.0,0,146.95,146.95
96,2023-02-02 10:36:00,147.0,147.0,147.0,0,146.95,146.95
97,2023-02-02 10:37:00,147.0,147.0,147.0,0,147.0,147.0
98,2023-02-02 10:38:00,146.9,146.9,146.9,100,146.91,146.91
99,2023-02-02 10:39:00,146.9,146.9,146.9,0,146.87,146.87
100,2023-02-02 10:40:00,146.94,146.94,146.94,106,146.97,146.97
